====================================================================================================
> training arguments:
>>> if_test: 0
>>> run_model: cot
>>> k_label: 2
>>> dataset: vox_tweets
>>> model_type: vanilla
>>> loss_type: rsgan
>>> mu_type: ragan
>>> eval_type: Ra
>>> d_type: Ra
>>> if_real_data: 1
>>> cuda: 1
>>> device: 0
>>> devices: 0
>>> shuffle: 0
>>> gen_init: normal
>>> dis_init: normal
>>> n_parent: 1
>>> eval_b_num: 8
>>> lambda_fq: 1.0
>>> lambda_fd: 0.0
>>> d_out_mean: True
>>> freeze_dis: False
>>> freeze_clas: False
>>> use_all_real_fake: False
>>> use_population: False
>>> samples_num: 10000
>>> vocab_size: 1141
>>> mle_epoch: 0
>>> clas_pre_epoch: 10
>>> adv_epoch: 20000
>>> inter_epoch: 15
>>> batch_size: 64
>>> max_seq_len: 60
>>> start_letter: 1
>>> padding_idx: 0
>>> gen_lr: 0.01
>>> gen_adv_lr: 0.0001
>>> dis_lr: 0.0001
>>> clip_norm: 5.0
>>> pre_log_step: 10
>>> adv_log_step: 100
>>> train_data: dataset/vox_tweets.txt
>>> test_data: dataset/testdata/vox_tweets_test.txt
>>> temp_adpt: exp
>>> evo_temp_step: 1
>>> temperature: 1
>>> ora_pretrain: 0
>>> gen_pretrain: 0
>>> dis_pretrain: 0
>>> adv_g_step: 1
>>> rollout_num: 16
>>> gen_embed_dim: 32
>>> gen_hidden_dim: 32
>>> goal_size: 16
>>> step_size: 4
>>> mem_slots: 1
>>> num_heads: 2
>>> head_size: 256
>>> d_step: 5
>>> d_epoch: 3
>>> adv_d_step: 1
>>> adv_d_epoch: 3
>>> dis_embed_dim: 64
>>> dis_hidden_dim: 64
>>> num_rep: 64
>>> use_nll_oracle: 1
>>> use_nll_gen: 1
>>> use_nll_div: 1
>>> use_bleu: 1
>>> use_self_bleu: 1
>>> use_clas_acc: True
>>> use_ppl: 0
>>> log_file: log/log_0520_2110_48.txt
>>> save_root: save/20240520/vox_tweets/cot_vanilla_dt-Ra_lt-rsgan_mt-ra_et-Ra_sl60_temp1_lfd0.0_T0520_2110_48/
>>> signal_file: run_signal.txt
>>> tips: CoT experiments
====================================================================================================
Starting Generator MLE Training...
Starting Adversarial Training...
[ADV]: epoch = 0, BLEU-[2, 3, 4, 5] = [0.016, 0.008, 0.005, 0.004], NLL_gen = 7.05, NLL_div = 7.0393, Self-BLEU-[2, 3, 4] = [0.589, 0.088, 0.034], [PPL-F, PPL-R] = 0
[ADV]: epoch = 100, BLEU-[2, 3, 4, 5] = [0.085, 0.062, 0.055, 0.053], NLL_gen = 3.1107, NLL_div = 0.6832, Self-BLEU-[2, 3, 4] = [0.356, 0.191, 0.149], [PPL-F, PPL-R] = 0
